features,section
Récord 96 mil asistentes pelea Dubois Joshua hoy Wembley Londres Daniel Dubois nueva estrella del boxeo mundial dos veces campeón del orbe Anthony Joshua disputan hoy cinturón pesos pesados Federación Internacional Boxeo ( FIB ) multitud récord 96 mil personas catedral del futbol Wembley,Deportes
América no está formar jugadores dice Jardine Siendo América uno clubes menos minutos ha dado juveniles timonel del plantel André Jardine mostró regla menores tiene intención impulsar jóvenes talentos al señalar prioridad Liga Mx es ganar torneo no formación jugadores beneficio selección México,Deportes
Fátima Herrera miedo nada hizo historia ring París 2024 surgimiento referentes deporte mujeres comienza forjar nuevos talentos Inspira-da proezas Jackie Nava Ana María Guerrera Torres Fátima Herrera peleó llegar París 2024 hizo historia al convertirse primera boxeadora mexicana conseguir victoria Juegos Olímpicos,Deportes
Pumas femenil deja escapar tres puntos CU Pese generar diversas oportunidades gol Pumas no logró pa-sar del empate 0-0 Querétaro dejó escapar valiosos puntos permitieran afianzarse primeros lugares clasificación general del torneo Apertura 2024 Liga Mx Femenil,Deportes
Cae dupla Zverev-Alcaraz dupla Carlos Alcaraz-Alexander Zverev cayó pareja estadunidense formada Taylor Fritz Ben Shelton 7-6 ( 7/5 ) 6-4 dejando marcador 2-2 al final primera jornada Laver Cup disputa Berlín Impulsada Roger Federer 2017 competencia – exhibición inspirada Ryder Cup golf llamada homenaje al jugador australiano Rod Laver – enfrenta seis jugadores Europa mismo número representantes del resto del mundo,Deportes
México pierde penales leyendas FIFA planteles repletos figuras otras épocas equipos leyendas FIFA Monterrey protagonizaron partido exhibición congregó miles personas estadio BBVA actual casa Rayados sedes México Copa del Mundo 2026 Andrea Pirlo Dwayne Rosario Youri Djorkaeff marcaron internacionales mientras ex seleccionados tricolores Luis Hernández Miguel Layún Jorge Campos lograron empate tres penales representantes FIFA impusieron 5-4 Dada inactividad participantes retiro profesional organizadores ajustaron dimensiones del terreno juego leyendas FIFA estuvieron arquero Gianluigi Buffon Alessandro del Piero Didier Drogba Carles Puyol Xavi Hernández Diego Forlán México destacaron Oribe Peralta Luis Hernádez Jorge Campos Guillermo Franco Paul Aguilar técnico Bora Milutinovic,Deportes
Tuzos salen crisis derrotan al Puebla visita Pachuca reordenó piezas rompecabezas victorias fechas anteriores Tuzos volvieron ganar Liga Mx al imponerse 3-2 al Puebla estadio Cuauhtémoc Mucho tuvo ver debilidad defensiva Franja más contundencia delanteros Salomón Rondón Nelson Deossa fueron figuras ataque,Deportes
Jaime Munguía regresa grande gana nocaut Jaime Munguía regresó al ring plan grande dura pelea canadiense Erik Bazinyan Glendale Arizona pugilista mexicano consiguió victoria del nocaut décimo asalto poderoso gancho mano izquierda ocasionó derrumbe rival Bazinyan intentó pararse recibió cuenta del réferi no encontró fuerza piernas aceptó derrota combate dejó manos del tijuanense título plata peso supermediano del CMB Fue pelea fuerte pesada ningún momento Bazinyan lastimó Tuve ir abriéndolo poco poco Ahora queremos mejores peleas siguiente año gustaría enfrentar Caleb Plant Édgar Berlanga declaró Munguía no peleaba derrota tapatío Saúl Canelo Álvarez,Deportes
Verstappen castigado lenguaje grosero Norris lidera prácticas Max Verstappen cayó nuevo espiral errores persigue Red Bull jornada ensayos libres del Gran Premio Singapur tricampeón mundial Fórmula 1 logró cuarto mejor tiempo primera ronda fue lugar 15 quejándose falta adherencia gomas Quedó 1.2 segundos del líder Lando Norris ( McLaren ) brilló circuito urbano Mari-na Bay delante del monegasco Charles Leclerc Carlos Sainz ( Ferrari ) mexicano Sergio Pérez ubicó octavo puesto,Deportes
Ohtani desata euforia prensa japonesa proeza Shohei Ohtani convirtió primer pelotero Grandes Ligas 50 jonrones 50 bases robadas temporada fue celebrada ediciones extra periódicos aficio-nados leyeran camino al trabajo viernes Japón,Deportes
Lun representa escena magia infancia enigma existencia magia infancia enigma existencia riesgos pérdida memoria entrelazan Lun propuesta escénica llega al Teatro Artes del Centro Nacional Artes ( Cenart ) partir este fin semana,Cultura
Develará AMLO estatua Catarino Garza Rodríguez próximo lunes presidente Andrés Manuel López Obrador inaugurará estatua honor del revolucionario Catarino Garza Rodríguez precursor del alzamiento revolucionario dictadura Porfirio Díaz video definió Garza Rodríguez idealista soñador guardadas circunstancias cada uno similar Ernesto Che Guevara,Cultura
Xalapa indigna destrucción escultura posterior uso relleno zanja Coatl escultura monumental ceramistas Rocío Sagaón ( 1933-2015 ) Laura Navarro ubicada parque Natura Xalapa Veracruz fue destruida usada relleno empresa contratada gobierno encabeza Cuitláhuac García Jiménez desarrollar proyecto Naturalia refugio vida silvestre instalará dentro del bosque urbano,Cultura
Ó Instrucciones salir del agua desmonta mito Ofelia mirada feminista Ser no ser escucha escena famosa frase no pronuncia Hamlet mujer cuestiona opción es morir dormir tal vez soñar trata propuesta escénica Ó Instrucciones salir del agua conjuga teatro físico danza repensar al personaje shakesperiano Ofelia mirada moderna feminista María Fernanda Baez interpreta unipersonal inició temporada teatro Milagro,Cultura
Angélica Azuara recomienda Jornada trinchera puesto periódicos Angélica Azuara puesto periódicos trabaja hace 15 años es también trinchera ha tocado evadir recibir dardos censura sexenios anteriores mentes panistas cerradas hoy día,Cultura
quedaría corto al hablar significa Jornada México Hace poco más 40 años había más periodismo decirlo alguna manera además grandes diarios estaban otros Figaro Cine Mundial Redondel segunda Ovaciones Últimas Noticias Extra Hoy es cochinada cualquiera es difusor noticias no noticias están otros lados ese panorama qué importante es exista Jornada da lugar lectores,Cultura
Carlos Fernández-Vega México SA Ernesto Zedillo fue uno seis depredadores del Estado instalados Pinos régimen neoliberal al igual otros gerentes misma estirpe dedicó entregar bienes nación al gran capital sello sexenal fue ilegal rescate banca Fobaproa este personaje ahora intenta reivindicar derecha autóctona fue más allá siempre intereses nacionales,Economía
Reserva Federal EU no es referente política monetaria global bancos centrales diversos países realizaron serie movimientos tasas interés semana encabezados Reserva Federal Estados Unidos ( Fed ) miércoles recortó tasas referencia primera vez 2020,Economía
Es innecesaria reforma fiscal siguiente sexenio presidente Andrés Manuel López Obrador aseguró no es necesaria reforma fiscal futuro mantiene fórmula combate corrupción política austeridad republicana,Economía
Termina semana peso pérdida uno ciento peso cerró retroceso uno ciento semana marcada anuncio política monetaria del banco central Estados Unidos también afectado cautela inversionistas aguardan anuncio del Banco México próxima semana,Economía
BdeM recortará tasa cuarto punto anticipa encuesta Analistas económicos consultados Citibanamex anticiparon nuevo recorte 0.25 puntos porcentuales tasa interés referencia del Banco México ( BdeM ) reunión próxima semana estiman ubique 10 ciento al cierre 2024,Economía
China campo batalla Apple Huawei nuevos teléfonos alta gama nuevos modelos Apple Huawei salieron venta manera simultánea este viernes China usuarios hicieron largas filas adquirir dispositivos alta gama dos marcas compiten mercado chino uno más grandes importantes ambas compañías,Economía
Silvia Ribeiro * Ayotzinapa impunidad olvido saber paradero justicia tortuoso camino encubrimientos impunidad cumplen este 26 septiembre 10 años desaparición forzada 43 estudiantes escuela normal Raúl Isidro Burgos Ayotzinapa asesinato seis personas tres estudiantes,Economía
Mexicana presenta avión Embraer sumará flota 2025 Zumpango Méx fin consolidarse industria del transporte aéreo nacional Mexicana Aviación aerolínea del Estado mexicano presentó avión Embraer E195-E2 modelo del adquirieron 20 unidades aerolínea empezará recibir partir mayo 2025,Economía
China sufre exceso ... leche mercado leche China enfrenta situación complicada exceso oferta baja demanda pérdidas millonarias,Economía
"EU pide implementación rigurosa plan certificación aguacate México ventas aguacate mexicano Estados Unidos han disparado 48% 2019 alcanzar valor más 3,000 millones dólares año pasado",Economía
Banqueros piden evitar arbitraje regulatorio licencias bancarias presidente ABM dijo productos ofrece cada instituciones financieras deben tener regulación igual mantener incentivo inversión país,Economía
Banqueros esperan leyes secundarias reforma judicial den certidumbre aprobación reforma al Poder Judicial banqueros esperan leyes secundarias afinen detalles permitan reforma exitosa,Economía
Slim critica dinero gasta jubilados pide combatir pobreza hombre más rico México dice recursos reciben actualmente mayores 65 años debería usarse sacar 6 millones personas pobreza extrema,Economía
Eliminación subsidios gasolinas impedirá bajas precios medida disminución estímulos fiscales obedece más necesidad incrementar recaudación impuestos reducir déficit fiscal consideran especialistas,Economía
México impugnará fallo determina pago 37 mdd Odyssey Marine Exploration empresa estadounidense ganó arbitraje internacional México consideró Semarnat negó arbitrariamente permiso proyecto minero marino Baja California Sur,Economía
"24% créditos hipotecarios es cofinanciado Infonavit Fovissste Asociación Bancos México dijo enero julio este año 16,100 créditos ha dado banca han tenido cofinanciamiento institutos trabajadores",Economía
Yellen considera señal muy positiva recorte tasas Fed medida refleja confianza parte Fed inflación cedió está camino meta 2% ( anual ) expresó secretaria del Tesoro EU,Economía
CNBV buscará regular reportes ciberseguridad regulador busca todas empresas ofrezcan servicio financiero deban homologar criterios reportar han sido víctimas ataque cibernético,Economía
Recorte Fed da margen maniobra Banco México decisión política monetaria del banco central estadounidense Banxico tiene oportunidad mantener amplio diferencial tasas aseguran analistas,Economía
Claudia Sheinbaum reunirá empresarios Estados Unidos octubre medio voces empresariales dicen inversiones han detenido reforma judicial Marcelo Ebrard anunció asistencia próxima presidenta México CEO Dialogue,Economía
¿ Dónde hay mayor brecha salarial género México ? Banxico realizó análisis brechas salariales género regiones México resultados demuestran norte es hay mayor diferencia remuneración hombres mujeres,Economía
¿ qué es importante tener seguro negocio ? seguro no solo cubre daños materiales también puede asegurar continuidad operaciones caso siniestro destaca AMIS,Economía
Peligra economía México Trump gana cumple aranceles Moody's agencia calificadora anticipa economía mexicana sufriría recesión 2025 mayor inflación,Economía
"RappiCard alcanza 5,107 millones pesos cartera crédito empresa resalta parte estrategia es ofrecer proceso solicitud aprobación solo dos minutos entrega tarjeta física 30 minutos",Economía
Fed baja tasas medio punto porcentual aduce confianza control inflación responsables política monetaria prevén tipo referencia Reserva Federal caiga otro medio punto porcentual finales este año,Economía
Mercado Pago recibe financiamiento JP Morgan apoyar Pymes mexicanas plataforma logra acuerdo banco inversión 250 millones dólares apoyar pequeños negocios país,Economía
número súper ricos dispara Estados Unidos China población China al menos 100 millones dólares cuentas ha duplicado últimos 10 años,Economía
Infonavit maneja 2.4 billones pesos activos Carlos Martínez fondos del instituto han aumentado aumentos salariales mayores aportaciones patronales fiscalización empresas programas regularización créditos,Economía
impacto del nearshoring tendencias laborales MetLife México escasez talento calificado importancia beneficios competitivos necesidad cultura organizacional sólida son principales desafíos enfrentan empresas,Economía
Sofipos ven oportunidades figura pesar migración bancaria Asociación Mexicana Sofipos ( AMS ) considera nueva regulación instituciones pueden seguir creciendo ayuda regulación tecnología,Economía
"Afores registran ganancias agosto más altas 9 meses Afores registraron plusvalías 231,284.6 millones pesos agosto monto más alto noviembre del año pasado",Economía
son mercancías más importa México exterior países más compra México son Estados Unidos representa casi 43% del total importaciones seguido China 20% Japón 3%,Economía
"SAT obtiene 191,506 mdp eficiencia recaudatoria 2024 mayor eficiencia recaudatoria debe principalmente programas Cumplimiento Obligaciones Vigilancia Profunda Cobranza Coactiva",Economía
Cetes reducen rendimiento previo decisión Banxico próxima semana Banco México ( Banxico ) dará conocer decisión política monetaria Cetes disminuyeron rendimientos todos plazos,Economía
gobierno Sheinbaum necesitará nueva política atraer inversiones Consumada desaparición ProMéxico esfuerzos atraer inversión extranjera dividieron especialistas cuestionan ente líder podría lograrse aún más,Economía
México EU acuerdan Sader supervise aguacate exportación gobiernos México Estados Unidos acordaron transferencia responsabilidades agilizar comercio,Economía
No todo es T-MEC son tratados comerciales aguardan Ebrard México tiene potencial ampliar diversificar exportaciones al menos cinco tratados además del tiene Estados Unidos Canadá,Economía
Instituciones crédito incertidumbre Reforma Judicial dice Moody’s pequeñas medianas empresas enfrentarán desaceleración créditos dada falta certeza jurídica instituciones financieras no bancarias,Economía
sequías impactan precio peso carne res Banxico Banco México destacó sequías provocan productores carne sacrifiquen al ganado antes tiempo no pierdan peso llega provocar inflación mediano plazo,Economía
HR Ratings baja previsión crecimiento 1.4% México 2024 agencia calificadora ve ambiente incertidumbre cambio administración reformas AMLO también recortó pronóstico 2025,Economía
Gasolina Magna va segunda semana subsidios semana del 14 al 20 septiembre consumidores pagarán 6.1752 pesos Impuesto Especial Producción Servicios ( IEPS ) litro gasolina regular,Economía
Banxico proyecta apogeo del nearshoring México 2026 2030 encuesta Banco México 41.3% empresas consultadas estima mayor beneficio del proceso relocalización dará ese periodo,Economía
Fitch S&P descartan degradar calificación México reforma judicial agencias calificadoras ven finanzas sólidas esperan prudencia fiscal Claudia Sheinbaum,Economía
es Antonio Martínez Dagnino jefe del SAT gobierno Sheinbaum Antonio Martínez Dagnino llegó jefatura del SAT octubre del 2022 Raquel Buenrostro pasara tomar liderazgo Secretaría Economía,Economía
Pemex Infonavit es Octavio Romero Oropeza presidenta electa Claudia Sheinbaum dio conocer Romero Oropeza estará al frente del Instituto del Fondo Nacional Vivienda Trabajadores,Economía
BBVA advierte reforma al Poder Judicial socava Estado derecho análisis del banco considera perspectivas crecimiento económico México también pueden deteriorarse,Economía
papel economía del bienestar gobiernos modernos economía del bienestar prioriza salud felicidad personas colocando valores al mismo nivel incluso encima indicadores económicos tradicionales PIB,Economía
salarios programas sociales remesas mantienen consumo México Pese inflación mayor tasa interés consumo privado México ha sido pilar economía tendencia queda poco tiempo advierten analistas,Economía
Moody's prevé reforma judicial debilite calidad crediticia México cambios sistema judicial perjudicarían futuras inversiones nearshoring dice agencia calificadora,Economía
Coparmex advierte reforma judicial afectará proyectos clave economía organismo empresarial lamenta aprobación Senado República señaló es decisión no tomó cuenta diferentes voces,Economía
peso mexicano mantiene 20 unidades dólar aprobación reforma judicial baja inflación EU moneda apreció 1.48% frente 20.09 unidades dólar reportadas al cierre del martes,Economía
México va facilitar respaldar inversiones EU Marcelo Ebrard aprobada reforma judicial próximo secretario Economía revivió posteó video redes sociales dice integración dos economías avanza paso acelerado,Economía
inversión extranjera cae estados más atractivos nearshoring falta energía eléctrica escasez agua mano obra además infraestructura rebasada transporte ponen freno decisiones inversión,Economía
"Comce espera inversiones 48,000 mdd pese reforma judicial presidente del Consejo Empresarial Mexicano Comercio Exterior destacó prevén Inversión Extranjera Directa cierre 2024 40,000 millones dólares 11% más respecto 2023",Economía
inflación cede Banxico enfrenta más retos bajar tasa interés volatilidad tipo cambio generada avance reforma judicial representa freno al banco central bajar tasa interés referencia,Economía
rendimientos Cetes tocan nivel más enero rendimientos Cetes 28 días tuvieron tasa más baja enero pasado expectativa Banxico haga más recortes tasa referencia,Economía
Mexico necesita política industrial acorde economía actual IMCO centro investigación apunta últimos 20 años valor agregado producción exportaciones manufactureras ha estancado,Economía
es audiencia quiere conquistar iPhone 16 Apple es consciente muchos usuarios iPhone 15 difícilmente van renovar smartphone hay segmento al pueden seducir,Ciencia y Tecnología
Microsoft usará energía nuclear alimentar Inteligencia Artificial acuerdo Microsoft Constellation Energy permitirá reactivar unidad planta nuclear Three Mile Island cubrir crecientes necesidades energéticas,Ciencia y Tecnología
ONU formula siete recomendaciones regular IA ONU creó año pasado órgano consultivo 39 miembros abordar problemas regulación internacional IA,Ciencia y Tecnología
caso Caliente TV anunciar apuestas transmitir Champions League compañía ha entrado ‘ guerra del streaming deportivo ’ captar parte este nicho mercado ello consolidar principal negocio apuestas,Ciencia y Tecnología
IA decide eres no apto trabajo ¿ qué hacer vea ? IA sí ha demostrado puede ser aliada espacios aplica sesgos puede presentar aún son inconveniente,Ciencia y Tecnología
Amazon Prime MGM Studios unen MPA empresas entretenimiento unen otras Netflix Paramount Pictures,Ciencia y Tecnología
Amazon lanza nuevo bot ayudará crecer ventas empresa dio conocer Amelia obtener datos venta inventario negocio está plataforma,Ciencia y Tecnología
PlayStation lanza edición limitada aspecto noventero consola evoca al aspecto del primer equipo lanzado Sony 1994 forma parte celebración 30 años,Ciencia y Tecnología
Usuarios reportan alerta sísmica nunca llegó celulares IFT había asegurado hoy empresas enviarían mensajes emergencia sismos nunca llegaron Telcel asegura alertas dependen del regulador,Ciencia y Tecnología
TelevisaUnivision nombra nuevo CEO exdirectivo Google trata Daniel Alegre sustitución Wade Davis cuenta amplia experiencia empresas tecnología trabajando comunidad hispana EU México América Latina,Ciencia y Tecnología
Inversión conectividad no caerá pese política judicial Neutral Networks CEO compañía Neutral Networks enfocada infraestructura crítica dijo necesidad conectividad nivel usuario empresa será más fuerte agendas políticas,Ciencia y Tecnología
Nintendo The Pokémon Company demandan al creador Palworld empresas japonesas iniciaron acción legal Pocketpair debido infracciones patentes al desarrollar llamado Pokémon armas,Ciencia y Tecnología
TelevisaUnivisión sustituirá Wade Davis director general empresa decidió sustituir Davis Daniel Alegre debido algunos resultados compañía cayeron debajo expectativas internas,Ciencia y Tecnología
YouTube presenta IA hacer videos ganar ‘ más ’ dinero empresa llevo cabo Made on YouTube evento también señaló número creadores obtienen mayor parte ingresos viene TV,Ciencia y Tecnología
IA generativa transforma operación ingresos empresariales uso IA generativa ha crecido diversos sectores impulsando innovación facilitando nuevas formas operar organizaciones,Ciencia y Tecnología
Amazon agrega PayPal método pago pedidos Comprar Prime nueva opción estará disponible usuarios realicen compras sitios web terceros membresía Prime,Ciencia y Tecnología
CFE Telecom perfila nuevo CEO impulsar proyecto internet dos fuentes conocimiento del tema al interior compañía ha puesto mesa nombre Emiliano Calderón Mercado ser nuevo CEO estatal telecomunicaciones,Ciencia y Tecnología
"Google salva multa antimonopolio 1,670 mmd caso comenzó supuesto dominio anticompetitivo empresa mercado publicidad línea",Ciencia y Tecnología
e-commerce chino conquista bolsas valores dueños Alibaba Temu JD conquistan e-commerce del mundo mientras diversifican negocios,Ciencia y Tecnología
¿ Cómo funciona canje teléfonos Mercado Libre ? Mercado Libre lanzó nuevo programa llamado Trade in smartphones puedes canjear antiguo celular modelo nuevo,Ciencia y Tecnología
Malware Android permite retirar dinero cajeros automáticos NGate clona datos NFC tarjetas pago retransmite atacante emula tarjeta original realizar retiros dinero cajeros automáticos,Ciencia y Tecnología
Uber Didi operan mismos sitios del AICM pese restricciones usuarios continúan pidiendo servicio taxis aplicación Uber apunta continuará operando regularidad,Ciencia y Tecnología
TikTok vs EU historia antaño no tiene fin claro prohibición llegaría enero 2025 empresa interpuso demanda evitar restricción mientras candidatos presidencia tampoco quieren bloquear,Ciencia y Tecnología
Cómo crear diario personal IA WhatsApp inteligencia artificial WhatsApp Meta AI puede aprovecharse realizar simplificar diferentes tareas Aquí explicamos cómo crear diario personal,Ciencia y Tecnología
Alerta sísmica llegará teléfonos próximo 19 septiembre IFT Telcel AT&amp;T Telefónica Bait comenzarán enviar notificaciones emergencia sismos huracanes inundaciones celulares,Ciencia y Tecnología
iOS 18 qué incluye nueva versión cómo actualizar iPhone todavía no ha integrado Apple Intelligence actualización al sistema operativo integra serie mejoras,Ciencia y Tecnología
Ahora usuarios Uber también deberán verificar identidad Uber implementará nueva verificación identidad pasajeros objetivo ofrecer mayor seguridad conductores evitar fraudes plataforma,Ciencia y Tecnología
Intel Amazon firman acuerdo comercial mercado recibe empresas tecnología trabajarán conjunto coinversión diseños chip personalizados negocio nube big tech AWS,Ciencia y Tecnología
OpenAI crea junta seguridad capaz detener nuevos lanzamientos empresa busca mejorar procesos protección confianza transparencia medio búsqueda nueva ronda financiación multimillonaria,Ciencia y Tecnología
Instagram lanza cuenta adolescentes controles parentales usuarios menores 16 años sólo podrán recibir mensajes ser etiquetados cuentas sigan estén conectados,Ciencia y Tecnología
¿ servicio al cliente manos IA es mejor humanos ? Más mitad profesionales servicio al cliente ocupan algún software impulsado IA espera continúe creciendo,Ciencia y Tecnología
"Intel aplaza proyecto instalar fábricas Alemania Polonia anuncio presenta después revelara empresa recibirá 3,000 millones dólares del gobierno estadounidense fabricar semiconductores",Ciencia y Tecnología
Amazon despide del home office empleados regresan oficina 2025 empresas han permitido muchos empleados trabajen casa pandemia ha dejado oficinas casi vacías varias ciudades San Francisco Seattle,Ciencia y Tecnología
"Rappi considera debutar Bolsa Nueva York año Rappi opera nueve países región es considerada unicornio tecnológico valoración supera 5,000 millones dólares",Ciencia y Tecnología
TikTok Departamento Justicia enfrentan tribunales EU abogados TikTok enfrentarán al Departamento Justicia tribunal Washington destino ley podría prohibir aplicación vídeos cortos,Ciencia y Tecnología
